Instituto Nacional para el Federalismo y el Desarrollo Municipal

Base de datos de Poblacion 2020

cve_inegi,id_estado,id_municipio,superficie,municipios,localidades,cabecera,longitud,latitud,altitud,pob_cabecera,pob_cabecera_h,pob_cabecera_m,total,hombres,mujeres,p3ymas,p3ymas_h,p3ymas_m,p5ymas,p5ymas_h,p5ymas_m,p0_2,p0_2_h,p0_2_m,p3_5,p3_5_h,p3_5_m,p6_14,p6_14_h,p6_14_m,p8_14,p8_14_h,p8_14_m,p15_17,p15_17_h,p15_17_m,p18_24,p18_24_h,p18_24_m,p25_29,p25_29_h,p25_29_m,p25_59,p25_59_h,p25_59_m,p60ymas,p60ymas_h,p60ymas_m,p12ymas,p12ymas_h,p12ymas_m,p15ymas,p15ymas_h,p15ymas_m,p18ymas,p18ymas_h,p18ymas_m,p30ymas,p30ymas_h,p30ymas_m,loc1_249,loc250_499,loc500_999,loc1K_2499,loc2K5_4999,loc5K_9999,loc10K_14999,loc15K_29999,loc30K_49999,loc50K_99999,loc100K_249999,loc250K_499999,loc500K_999999,locmayor1M,tipo_municipio,p3ymas_li,p3ymas_li_h,p3ymas_li_m,p3ymas_li_esp,p3ymas_li_esp_h,p3ymas_li_esp_m,p3ymas_li_noesp,p3ymas_li_noesp_h,p3ymas_li_noesp_m,p3ymas_li_esp_noespecif,p3ymas_li_esp_noespecif_h,p3ymas_li_esp_noespecif_m,p3ymas_no_li,p3ymas_no_li_h,p3ymas_no_li_m,p3ymas_li_noespecif,p3ymas_li_noespecif_h,p3ymas_li_noespecif_m,id_lengua1,id_lengua2,hab_lengua1,hab_lengua2,p_catolica,p_nocatolica,p_otrareligion,p_sinreligion
"01001","1","1","0.00","0","0","","","","0","0","0","0","948990","462073","486917","903684","439128","464556","871193","422641","448552","44372","22479","21893","48767","24816","23951","0","0","0","114551","58303","56248","49934","25457","24477","120452","60293","60159","80077","39631","40446","0","0","0","102987","46263","56724","756970","364718","392252","707473","339445","368028","657539","313988","343551","0","0","0","12112","9505","6268","19659","23855","13698","0","0","0","0","0","0","863893","0","","1822","1069","753","1783","1047","736","8","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"01002","1","2","0.00","0","0","","","","0","0","0","0","51536","25261","26275","48346","23720","24626","46095","22563","23532","3170","1531","1639","3342","1710","1632","0","0","0","7612","3797","3815","3218","1666","1552","6581","3313","3268","3972","1893","2079","0","0","0","4697","2281","2416","38399","18717","19682","35250","17162","18088","32032","15496","16536","0","0","0","2722","4746","10042","16266","6536","11224","0","0","0","0","0","0","0","0","","17","10","7","17","10","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"01003","1","3","0.00","0","0","","","","0","0","0","0","58250","28563","29687","55056","26968","28088","52691","25762","26929","3159","1578","1581","3530","1782","1748","0","0","0","7820","3995","3825","3220","1634","1586","6935","3410","3525","4388","2054","2334","0","0","0","7829","3784","4045","44778","21710","23068","41495","20049","21446","38275","18415","19860","0","0","0","4668","4388","4929","15898","0","7318","0","21049","0","0","0","0","0","0","","76","41","35","74","41","33","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"01004","1","4","0.00","0","0","","","","0","0","0","0","17000","8292","8708","15968","7799","8169","15254","7456","7798","1032","493","539","1062","525","537","0","0","0","2374","1212","1162","1045","513","532","2228","1093","1135","1331","671","660","0","0","0","1613","777","836","12820","6198","6622","11817","5692","6125","10772","5179","5593","0","0","0","560","1154","2595","4214","2607","5870","0","0","0","0","0","0","0","0","","7","6","1","7","6","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"01005","1","5","0.00","0","0","","","","0","0","0","0","129929","64219","65710","122845","60585","62260","117571","57881","59690","6945","3565","3380","7998","4095","3903","0","0","0","18084","9241","8843","7680","3937","3743","16640","8287","8353","10188","4991","5197","0","0","0","9815","4713","5102","99250","48566","50684","91487","44588","46899","83807","40651","43156","0","0","0","5944","4199","7966","14296","15882","5191","12646","0","0","63805","0","0","0","0","","158","98","60","149","93","56","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"01006","1","6","0.00","0","0","","","","0","0","0","0","47646","23377","24269","44862","21978","22884","42881","20942","21939","2746","1380","1366","2967","1546","1421","0","0","0","6550","3257","3293","2872","1453","1419","6150","3070","3080","3928","1922","2006","0","0","0","4481","2095","2386","36250","17564","18686","33468","16212","17256","30596","14759","15837","0","0","0","3098","2190","1282","5725","3316","0","0","0","32035","0","0","0","0","0","","52","31","21","52","31","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"01007","1","7","0.00","0","0","","","","0","0","0","0","57369","28101","29268","53663","26235","27428","51232","24999","26233","3545","1786","1759","3615","1863","1752","0","0","0","8137","4142","3995","3471","1774","1697","7362","3670","3692","4744","2265","2479","0","0","0","5264","2500","2764","42927","20719","22208","39505","18985","20520","36034","17211","18823","0","0","0","3254","1444","7396","2713","10599","0","0","0","31963","0","0","0","0","0","","209","114","95","207","113","94","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"01008","1","8","0.00","0","0","","","","0","0","0","0","9552","4532","5020","8889","4231","4658","8484","4041","4443","663","301","362","609","287","322","0","0","0","1331","675","656","558","273","285","1179","545","634","812","350","462","0","0","0","956","461","495","7068","3330","3738","6519","3046","3473","5961","2773","3188","0","0","0","884","710","0","2351","0","5607","0","0","0","0","0","0","0","0","","21","11","10","21","11","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"01009","1","9","0.00","0","0","","","","0","0","0","0","22485","11114","11371","21176","10463","10713","20212","9959","10253","1255","624","631","1430","734","696","0","0","0","3236","1653","1583","1373","685","688","2962","1473","1489","1833","911","922","0","0","0","2158","1048","1110","16877","8286","8591","15573","7602","7971","14200","6917","7283","0","0","0","1128","1789","6009","4445","3889","5225","0","0","0","0","0","0","0","0","","15","6","9","15","6","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"01010","1","10","0.00","0","0","","","","0","0","0","0","20853","10446","10407","19584","9802","9782","18740","9371","9369","1268","644","624","1274","641","633","0","0","0","2881","1515","1366","1225","658","567","2565","1233","1332","1709","816","893","0","0","0","1988","991","997","15851","7907","7944","14603","7248","7355","13378","6590","6788","0","0","0","3510","1971","5683","3382","0","6307","0","0","0","0","0","0","0","0","","8","5","3","8","5","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
